Species,Code,Abund,Sampled,Where to find
Helietta apiculata,HEAP,5,0,"Plot 6, Triangle"
"Heteropterys ""rosa""",HERO,2,0,
Hymenaea stigonocarpa,HYST,1,0,
Jacaranda caroba,JACA,5,5,
Jacaranda micrantha,JAMI,1,0,
Jacaranda oxyphylla,JAOX,4,0,
Jacaranda X,JAX,4,0,
Kielmeyera coriacea,KICO,2,4,
Lacistema hasslerianum,LAHA,123,5,
Lafoensia vandelliana,LAVA,1,0,
Lantana camara,LACA,3,0,
Leandra melastomoides,LEME,1,0,
Leptolobium elegans,LEEL,177,5,
Lippia salviaefolia,LISA,10,0,Everywhere
Lippia sidoides,LISI,24,0,Everywhere
Lithraea molleoides,LIMO,16,5,
Luehea candicans,LUCA,14,3,"Plot 4, 6"
Luehea grandiflora,LUGR,10,3,"Plot 4, 6"
Machaerium acutifolium,MAAC,58,5,
Machaerium brasiliense,MABR,82,5,
Machaerium stipitatum,MAST,1,0,
Machaerium?,MACHA,1,0,
Maprounea guianensis,MAGU,1,0,
Matayba elaeagnoides,MAEL,114,5,
Maytenus robusta,MARO,1,0,
Miconia albicans,MIAL,38,3,Everywhere
Miconia ligustroides,MILI,84,5,
Miconia sellowiana,MISE,5,0,
Mollinedia widgrenii,MOWI,2,0,
Myrcia fallax,MYFA,341,5,
Myrcia lasiantha,MYLA,9,0,
Myrcia lingua,MYLI,5,5,
Myrcia multiflora,MYMU,43,5,
Myrcia prunifolia,MYPR,2,0,
Myrcia tomentosa,MYTO,61,5,
Myrcia venulosa,MYVE,14,5,
Myrciaria floribunda,MYFL,3,0,
Myrtaceae sp1,MYSP,2,0,
Nectandra cuspidata,NECU,13,5,
Nectandra lanceolata,NELA,2,0,
Nectandra oppositifolia,NEOP,3,0,
Ocotea corymbosa,OCCO,580,7,
Ocotea dyospirifolia,OCDY,2,0,
Ocotea minarum,OCMI,45,5,
Ocotea pulchella,OCPU,28,5,
Ocotea velloziana,OCVE,22,5,
Ocotea velutina,OCVE,2,0,
Ouratea spectabilis,OUSP,25,5,
Parapiptadenia rigida,PARI,1,0,
Pera obovata,PEOB,296,6,
Pinus elliottii,PIEL,1,0,
Piptadenia gonoacantha,PIGO,1,0,
Piptocarpha axillaris,PIAX,10,0,"Plots 18, 20"
Piptocarpha rotundifolia,PIRO,1,1,:(
Platymenia reticulata,PLRE,18,5,
Platypodium elegans,PLEL,44,1,"Plots 4, 6, 9"
Plenckia populnea,PLPO,28,5,
Pouteria ramiflora,PORA,7,0,
Pouteria torta,POTO,5,5,
Pouteria?,PO,2,0,
Protium heptaphyllum,PRHE,4,0,
Prunus myrtifolia,PRMY,6,1,":( 4, 8, 9"
Psidium australe,PSAU,4,0,
Psidium cinereum,PSCI,1,0,
Psidium guajava,PSGU,5,0,
Psidium pohlianum,PSPO,1,0,
Psychotria carthagenensis,PSCA,2,0,
Psychotria marcgravii,PSMA,1,0,
Psychotria vellosiana,PSVE,8,0,
Qualea cordata,QUCO,6,5,
Qualea grandiflora,QUGR,4,5,
Qualea multiflora,QUMU,10,5,
Randia calycina,RACA,1,0,
Rapanea ferruginea,RAFE,40,6,
Rapanea guianensis,RAGU,1,5,
Rapanea lancifolia,RALA,5,1,"2, 17, 18 23"
Rapanea umbellata,RAUM,432,5,
Rhamnidium elaeocarpum,RHEL,1,0,
Rollinia sylvatica,ROSY,1,0,
Roupala montana,ROMO,13,5,
Schefflera vinosa,SCVI,27,5,
Senna pendula,SEPE,1,0,
Senna rugosa,SERU,1,0,
Siparuna guianensis,SIGU,378,6,
Stryphnodendron adstringens,STAD,1,4,25.7
Stryphnodendron rotundifolium,STRO,94,6,
Styrax camporum,STCA,51,6,
Styrax cf. pohlii,STPO ,1,1,24.8 (4669)
Styrax ferrugineus,STFE,2,6,
Swetia fruticosa,SWFR,5,0,
Syagrus flexuosa,SYFL,3,0,
Syagrus rommanzofiana,SYRO,18,0,
Syagrus sp,SYAGR,1,0,
Symplocos mosenii,SYMO,1,0,
Symplocos pubescens,SYPU,43,5,
Tabebuia ochracea,TAOC,13,4,Everywhere
Tabernaemontana catharinensis,TACA,40,5,
Tapirira guianensis,TAGU,111,5,
Terminalia glabrescens,TEGL,49,4,"2, 4, 6"
Terminalia pubescens,TEPU,1,0,
Tibouchina stenocarpa,TIST,1,0,
Tocoyena formosa,TOFO,4,5,
Trichilia pallida,TRPA,1,0,
Tripodanthus acutifolius,TRAC,1,0,
Vitex megapotamica,VIME,1,0,
Vochysia tucanorum,VOTU,213,5,
Zanthoxylum rhoifolium,ZARH,5,3,Plot 6 (large trees)
Zeyheria montana,ZEMO,4,4,Triangle
Zeyheria tuberculosa,ZETU,1,0,
